ts_code,live,name,description,price,sell,page_yield,colour,weight,barcode,box_size,short_oem_code,daily_stock,min,max,image_url,oem_code,pack,vow_oem_code,spicers_oem_code,vow_compat_code,spicers_compat_code,brand,manufacturer,product_type,group,category,chip_issue,machine_models,machine_models2,shipping_category_id,available_on
C106R01596,Yes,Compatible Xerox Yellow 6500 / 6505 106R01596 2500 Page Yield,"Compatible replacement for Xerox 106R01596. Page Yield or Volume @ 5% coverage will be approx 2500. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",60.49,16.89,"2,500",Yellow,,7.86E+11,,,0.14,2,4,C106R01596.jpg,106R01596,1,XR84975,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N","Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",1,01/01/14
C106R01629,Yes,Compatible Xerox Phaser Yellow 6000 / 6010 / 6015 106R01630,"Compatible replacement for Xerox 106R01629. Page Yield or Volume @ 5% coverage will be approx 1000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",27.5,18,"1,000",Yellow,,7.86E+11,,,0.14,2,4,C106R01629.jpg,106R01629,1,XR85002,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015","Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",1,01/01/14
C106R01628,Yes,Compatible Xerox Magenta Phaser 6000 / 6010 / 6015 106R01630,"Compatible replacement for Xerox 106R01628. Page Yield or Volume @ 5% coverage will be approx 1000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",27.5,18,"1,000",Magenta,,7.86E+11,,,0.16,2,4,C106R01628.jpg,106R01628,1,XR85001,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015","Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",1,01/01/14
C106R01595,Yes,Compatible Xerox Magenta 6500 / 6505 106R0595 2500 Page Yield,"Compatible replacement for Xerox 106R01595. Page Yield or Volume @ 5% coverage will be approx 2500. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",60.49,16.89,"2,500",Magenta,,7.86E+11,,,0.16,2,4,C106R01595.jpg,106R01595,1,XR84974,,OB6R01595,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N","Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",1,01/01/14
C106R01627,Yes,Compatible Xerox Cyan Phaser 6000 / 6010 / 6015 106R01630,"Compatible replacement for Xerox 106R01627. Page Yield or Volume @ 5% coverage will be approx 1000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",27.5,18,"1,000",Cyan,,7.86E+11,,,0.16,2,4,C106R01627.jpg,106R01627,1,XR85000,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015","Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",1,01/01/14
C106R01594,Yes,Compatible Xerox Cyan 6500 / 6505 106R01594 2500 Page Yield,"Compatible replacement for Xerox 106R01594. Page Yield or Volume @ 5% coverage will be approx 2500. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",60.49,16.89,"2,500",Cyan,,7.86E+11,,,0.16,2,4,C106R01594.jpg,106R01594,1,XR84973,,OB6R01594,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N","Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",1,01/01/14
C106R01630,Yes,Compatible Xerox Black Phaser 6000 / 6010 / 6015 106R01630,"Compatible replacement for Xerox 106R01630. Page Yield or Volume @ 5% coverage will be approx 2000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",38.5,18,"2,000",Black,,7.86E+11,,,0.14,2,4,C106R01630.jpg,106R01630,1,XR85003,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015","Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",1,01/01/14
C106R01597,Yes,Compatible Xerox Black 6500 / 6505 106R01597 3000 Page Yield,"Compatible replacement for Xerox 106R01597. Page Yield or Volume @ 5% coverage will be approx 3000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",48.39,17.49,"3,000",Black,0.1411,7.86E+11,,,0.21,3,6,C106R01597.jpg,106R01597,1,XR84976,,OB6R01597,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N","Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",1,01/01/14
C106R01394,Yes,Compatible Xerox 6280 Yellow 106R01394 6000 Page Yield,Compatible replacement for Xerox 106R01394. Page Yield or Volume @ 5% coverage will be approx 6000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6280,148.5,58.57,"6,000",Yellow,,7.86E+11,,,0.04,0,1,C106R01394.jpg,106R01394,1,XR74728,246823,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,Phaser 6280,Phaser 6280,1,01/01/14
C106R01393,Yes,Compatible Xerox 6280 Magenta 106R01393 6000 Page Yield,Compatible replacement for Xerox 106R01393. Page Yield or Volume @ 5% coverage will be approx 6000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6280,148.5,58.57,"6,000",Magenta,,7.86E+11,,,0.04,0,1,C106R01393.jpg,106R01393,1,XR74727,246815,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,Phaser 6280,Phaser 6280,1,01/01/14
C106R01392,Yes,Compatible Xerox 6280 Cyan 106R01392 6000 Page Yield,Compatible replacement for Xerox 106R01392. Page Yield or Volume @ 5% coverage will be approx 6000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6280,148.5,58.57,"6,000",Cyan,,7.86E+11,,,0.04,0,1,C106R01392.jpg,106R01392,1,XR74726,246808,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,Phaser 6280,Phaser 6280,1,01/01/14
C106R01395,Yes,Compatible Xerox 6280 Black 106R01395 8000 Page Yield,Compatible replacement for Xerox 106R01395. Page Yield or Volume @ 5% coverage will be approx 8000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6280,109.99,62.86,"8,000",Black,,7.86E+11,,,0.07,1,2,C106R01395.jpg,106R01395,1,XR74729,246831,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,Phaser 6280,Phaser 6280,1,01/01/14
CQ6473A,Yes,Compatible HP Q6473A 502A / Canon 717 Magenta 4000 Page Yield,"Compatible replacement for HP Q6473A. Page Yield or Volume @ 5% coverage will be approx 4000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n",72.59,30.99,"4,000",Magenta,1.49,7.86E+11,,,0.19,2,5,CQ6473A.jpg,Q6473A,1,HPQ6473A,241777,OBQ6473A,925935,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n","Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n",1,01/01/14
CQ6472A,Yes,Compatible HP Q6472A 502A / Canon 717 Yellow 4000 Page Yield,"Compatible replacement for HP Q6472A. Page Yield or Volume @ 5% coverage will be approx 4000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n",72.59,30.99,"4,000",Yellow,1.5,7.86E+11,,,0.23,3,6,CQ6472A.jpg,Q6472A,1,HPQ6472A,241769,OBQ6472A,925951,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n","Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n",1,01/01/14
CQ6471A,Yes,Compatible HP Q6471A 502A / Canon 717 Cyan 4000 Page Yield,"Compatible replacement for HP Q6471A. Page Yield or Volume @ 5% coverage will be approx 4000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n",72.59,30.99,"4,000",Cyan,1.52,7.86E+11,,,0.23,3,6,CQ6471A.jpg,Q6471A,1,HPQ6471A,241688,OBQ6471A,925958,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n","Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n",1,01/01/14
CQ6470A,Yes,Compatible HP Q6470A 501A / Canon 717 Black 6000 Page Yield,"Compatible replacement for HP Q6470A. Page Yield or Volume @ 5% coverage will be approx 6000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n, Color LaserJet 3800, Color LaserJet 3800dn, Color LaserJet 3800dtn, Color LaserJet 3800n, Color LaserJet CP3505",65.99,31.99,"6,000",Black,1.52,7.86E+11,36*13*23.5,501A,0.96,12,27,CQ6470A.jpg,Q6470A,1,HPQ6470A,241599,OBQ6470A,925966,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n, Color LaserJet 3800, Color LaserJet 3800dn, Color LaserJet 3800dtn, Color LaserJet 3800n, Color LaserJet CP3505","Color LaserJet 3600, Color LaserJet 3600dn, Color LaserJet 3600n, Color LaserJet 3800, Color LaserJet 3800dn, Color LaserJet 3800dtn, Color LaserJet 3800n, Color LaserJet CP3505",1,01/01/14
CQ6463A,Yes,Compatible HP Q6463A 644A Magenta 12000 Page Yield,"Compatible replacement for HP Q6463A. Page Yield or Volume @ 5% coverage will be approx 12000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk",92.39,36.99,"12,000",Magenta,2.26,7.86E+11,,644A,0.04,0,1,CQ6463A.jpg,Q6463A,1,HPQ6463A,241311,OB00801,,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk","Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk",1,01/01/14
CQ6462A,Yes,Compatible HP Q6462A  644A Yellow 12000 Page Yield,"Compatible replacement for HP Q6462A. Page Yield or Volume @ 5% coverage will be approx 12000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk",92.39,36.99,"12,000",Yellow,2.25,7.86E+11,,644A,0.04,0,1,CQ6462A.jpg,Q6462A,1,HPQ6462A,241303,OB00802,,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk","Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk",1,01/01/14
CQ6461A,Yes,Compatible HP Q6461A 644A Cyan 12000 Page Yield,"Compatible replacement for HP Q6461A. Page Yield or Volume @ 5% coverage will be approx 12000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk",92.39,36.99,"12,000",Cyan,2.27,7.86E+11,,644A,0.02,0,1,CQ6461A.jpg,Q6461A,1,HPQ6461A,241230,OB00800,,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk","Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk",1,01/01/14
CQ6460A,Yes,Compatible HP Q6460A 644A Black 11000 Page Yield,"Compatible replacement for HP Q6460A. Page Yield or Volume @ 5% coverage will be approx 11000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk",99.99,36.99,"11,000",Black,2.25,7.86E+11,,644A,0.32,4,9,CQ6460A.jpg,Q6460A,1,HPQ6460A,241222,OB00799,931014,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk","Color LaserJet 4730x, Color LaserJet CM4730, Color LaserJet CM4730f, Color LaserJet CM4730fm, Color LaserJet CM4730fsk",1,01/01/14
CQ6003A,Yes,Compatible HP Q6003A / Canon 707 Magenta 2000 Page Yield,"Compatible replacement for HP Q6003A. Page Yield or Volume @ 5% coverage will be approx 2000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 1600, Color LaserJet 2600n, Color LaserJet 2605, Color LaserJet 2605dn, Color LaserJet 2605dtn, Color LaserJet 2605n, Color LaserJet 2605tn, Color LaserJet CM1015, Color LaserJet CM1017",38.49,19.99,"2,000",Magenta,0.93,7.86E+11,36.5*12*17,,0.95,11,27,CQ6003A.jpg,Q6003A,1,HPQ6003A,178271,OB00720,925969,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 1600, Color LaserJet 2600n, Color LaserJet 2605, Color LaserJet 2605dn, Color LaserJet 2605dtn, Color LaserJet 2605n, Color LaserJet 2605tn, Color LaserJet CM1015, Color LaserJet CM1017","Color LaserJet 1600, Color LaserJet 2600n, Color LaserJet 2605, Color LaserJet 2605dn, Color LaserJet 2605dtn, Color LaserJet 2605n, Color LaserJet 2605tn, Color LaserJet CM1015, Color LaserJet CM1017",1,01/01/14
CQ6002A,Yes,Compatible HP Q6002A / Canon 707 Yellow 2000 Page Yield,"Compatible replacement for HP Q6002A. Page Yield or Volume @ 5% coverage will be approx 2000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 1600, Color LaserJet 2600n, Color LaserJet 2605, Color LaserJet 2605dn, Color LaserJet 2605dtn, Color LaserJet 2605n, Color LaserJet 2605tn, Color LaserJet CM1015, Color LaserJet CM1017",38.49,19.99,"2,000",Yellow,0.93,7.86E+11,36.5*12*17,,0.98,12,27,CQ6002A.jpg,Q6002A,1,HPQ6002A,178263,OB00719,925974,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 1600, Color LaserJet 2600n, Color LaserJet 2605, Color LaserJet 2605dn, Color LaserJet 2605dtn, Color LaserJet 2605n, Color LaserJet 2605tn, Color LaserJet CM1015, Color LaserJet CM1017","Color LaserJet 1600, Color LaserJet 2600n, Color LaserJet 2605, Color LaserJet 2605dn, Color LaserJet 2605dtn, Color LaserJet 2605n, Color LaserJet 2605tn, Color LaserJet CM1015, Color LaserJet CM1017",1,01/01/14
CQ6001A,Yes,Compatible HP Q6001A / Canon 707 Cyan 2000 Page Yield,"Compatible replacement for HP Q6001A. Page Yield or Volume @ 5% coverage will be approx 2000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Color LaserJet 1600, Color LaserJet 2600n, Color LaserJet 2605, Color LaserJet 2605dn, Color LaserJet 2605dtn, Color LaserJet 2605n, Color LaserJet 2605tn, Color LaserJet CM1015, Color LaserJet CM1017",38.49,19.99,"2,000",Cyan,0.94,7.86E+11,36.5*12*17,,0.93,11,26,CQ6001A.jpg,Q6001A,1,HPQ6001A,178255,OB00718,925977,Own Brand,HP,Compatible,Laser Toner,Colour,No,"Color LaserJet 1600, Color LaserJet 2600n, Color LaserJet 2605, Color LaserJet 2605dn, Color LaserJet 2605dtn, Color LaserJet 2605n, Color LaserJet 2605tn, Color LaserJet CM1015, Color LaserJet CM1017","Color LaserJet 1600, Color LaserJet 2600n, Color LaserJet 2605, Color LaserJet 2605dn, Color LaserJet 2605dtn, Color LaserJet 2605n, Color LaserJet 2605tn, Color LaserJet CM1015, Color LaserJet CM1017",1,01/01/14
