TS Code,Live,Short Description,Detail,RRP €,w,Page Yield,Colour,Weight,Bar Code,Box Size,Short OEM Code,Daily stock,Min,Max,Image URL,OEM Code,Pack,VOW OEM Code ,Spicers OEM Code ,VOW Compat Code,Spicers Compat Code,Brand,Manufacturer,Product Type,Group,Category,Chip Issue,Machine models,Keywords,,,,,,,,,,,,,,,,,,,,,,,,
C106R01596,Yes,Compatible Xerox Yellow 6500 / 6505 106R01596 2500 Page Yield,"Compatible replacement for Xerox 106R01596. Page Yield or Volume @ 5% coverage will be approx 2500. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",60.49,16.89,"2,500",Yellow,,0785983855006,,,0.14,2,4,C106R01596.jpg,106R01596,1,XR84975,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N","10601596, 106R01596, 6500, 6500DN, 6500N, 6505, 6505DN, 6505N, Phaser, Phaser 6500DN, Phaser 6500N, Phaser6500DN, Phaser6500N, WorkCentre, WorkCentre 6505DN, WorkCentre 6505N, WorkCentre6505DN, WorkCentre6505N, XR84975",,,,,,,,,,,,,,,,,,,,,,,,
C106R01629,Yes,Compatible Xerox Phaser Yellow 6000 / 6010 / 6015 106R01630,"Compatible replacement for Xerox 106R01629. Page Yield or Volume @ 5% coverage will be approx 1000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",27.50,18.00,"1,000",Yellow,,0785983855013,,,0.14,2,4,C106R01629.jpg,106R01629,1,XR85002,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015","10601629, 106R01629, 6000, 6000N, 6010, 6010N, 6015, Phaser, Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, Phaser6000, Phaser6000N, Phaser6010, Phaser6010N, WorkCentre, WorkCentre 6015, WorkCentre6015, XR85002",,,,,,,,,,,,,,,,,,,,,,,,
C106R01628,Yes,Compatible Xerox Magenta Phaser 6000 / 6010 / 6015 106R01630,"Compatible replacement for Xerox 106R01628. Page Yield or Volume @ 5% coverage will be approx 1000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",27.50,18.00,"1,000",Magenta,,0785983855020,,,0.16,2,4,C106R01628.jpg,106R01628,1,XR85001,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015","10601628, 106R01628, 6000, 6000N, 6010, 6010N, 6015, Phaser, Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, Phaser6000, Phaser6000N, Phaser6010, Phaser6010N, WorkCentre, WorkCentre 6015, WorkCentre6015, XR85001",,,,,,,,,,,,,,,,,,,,,,,,
C106R01595,Yes,Compatible Xerox Magenta 6500 / 6505 106R0595 2500 Page Yield,"Compatible replacement for Xerox 106R01595. Page Yield or Volume @ 5% coverage will be approx 2500. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",60.49,16.89,"2,500",Magenta,,0785983855037,,,0.16,2,4,C106R01595.jpg,106R01595,1,XR84974,,OB6R01595,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N","10601595, 106R01595, 6500, 6500DN, 6500N, 6505, 6505DN, 6505N, OB6R01595, Phaser, Phaser 6500DN, Phaser 6500N, Phaser6500DN, Phaser6500N, WorkCentre, WorkCentre 6505DN, WorkCentre 6505N, WorkCentre6505DN, WorkCentre6505N, XR84974",,,,,,,,,,,,,,,,,,,,,,,,
C106R01627,Yes,Compatible Xerox Cyan Phaser 6000 / 6010 / 6015 106R01630,"Compatible replacement for Xerox 106R01627. Page Yield or Volume @ 5% coverage will be approx 1000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",27.50,18.00,"1,000",Cyan,,0785983855044,,,0.16,2,4,C106R01627.jpg,106R01627,1,XR85000,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015","10601627, 106R01627, 6000, 6000N, 6010, 6010N, 6015, Phaser, Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, Phaser6000, Phaser6000N, Phaser6010, Phaser6010N, WorkCentre, WorkCentre 6015, WorkCentre6015, XR85000",,,,,,,,,,,,,,,,,,,,,,,,
C106R01594,Yes,Compatible Xerox Cyan 6500 / 6505 106R01594 2500 Page Yield,"Compatible replacement for Xerox 106R01594. Page Yield or Volume @ 5% coverage will be approx 2500. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",60.49,16.89,"2,500",Cyan,,0785983855051,,,0.16,2,4,C106R01594.jpg,106R01594,1,XR84973,,OB6R01594,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N","10601594, 106R01594, 6500, 6500DN, 6500N, 6505, 6505DN, 6505N, OB6R01594, Phaser, Phaser 6500DN, Phaser 6500N, Phaser6500DN, Phaser6500N, WorkCentre, WorkCentre 6505DN, WorkCentre 6505N, WorkCentre6505DN, WorkCentre6505N, XR84973",,,,,,,,,,,,,,,,,,,,,,,,
C106R01630,Yes,Compatible Xerox Black Phaser 6000 / 6010 / 6015 106R01630,"Compatible replacement for Xerox 106R01630. Page Yield or Volume @ 5% coverage will be approx 2000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015",38.50,18.00,"2,000",Black,,0785983855068,,,0.14,2,4,C106R01630.jpg,106R01630,1,XR85003,,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, WorkCentre 6015","10601630, 106R01630, 6000, 6000N, 6010, 6010N, 6015, Phaser, Phaser 6000, Phaser 6000N, Phaser 6010, Phaser 6010N, Phaser6000, Phaser6000N, Phaser6010, Phaser6010N, WorkCentre, WorkCentre 6015, WorkCentre6015, XR85003",,,,,,,,,,,,,,,,,,,,,,,,
C106R01597,Yes,Compatible Xerox Black 6500 / 6505 106R01597 3000 Page Yield,"Compatible replacement for Xerox 106R01597. Page Yield or Volume @ 5% coverage will be approx 3000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N",48.39,17.49,"3,000",Black,0.1411,0785983855075,,,0.21,3,6,C106R01597.jpg,106R01597,1,XR84976,,OB6R01597,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,"Phaser 6500DN, Phaser 6500N, WorkCentre 6505DN, WorkCentre 6505N","10601597, 106R01597, 6500, 6500DN, 6500N, 6505, 6505DN, 6505N, OB6R01597, Phaser, Phaser 6500DN, Phaser 6500N, Phaser6500DN, Phaser6500N, WorkCentre, WorkCentre 6505DN, WorkCentre 6505N, WorkCentre6505DN, WorkCentre6505N, XR84976",,,,,,,,,,,,,,,,,,,,,,,,
C106R01394,Yes,Compatible Xerox 6280 Yellow 106R01394 6000 Page Yield,Compatible replacement for Xerox 106R01394. Page Yield or Volume @ 5% coverage will be approx 6000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6280,148.50,58.57,"6,000",Yellow,,0785983855082,,,0.04,0,1,C106R01394.jpg,106R01394,1,XR74728,246823,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,Phaser 6280,"10601394, 106R01394, 246823, 6280, Phaser, Phaser 6280, Phaser6280, XR74728",,,,,,,,,,,,,,,,,,,,,,,,
C106R01393,Yes,Compatible Xerox 6280 Magenta 106R01393 6000 Page Yield,Compatible replacement for Xerox 106R01393. Page Yield or Volume @ 5% coverage will be approx 6000. This is a Laser Toner. Prices exclude VAT and delivery. All products are covered by a 2 year warranty and next day replacement service. Name and numbers are for indicative purposes only. All products are non-original/non-OEM. FITS: Phaser 6280,148.50,58.57,"6,000",Magenta,,0785983855099,,,0.04,0,1,C106R01393.jpg,106R01393,1,XR74727,246815,,,Own Brand,Xerox,Compatible,Laser Toner,Colour,No,Phaser 6280,"10601393, 106R01393, 246815, 6280, Phaser, Phaser 6280, Phaser6280, XR74727",,,,,,,,,,,,,,,,,,,,,,,,
